X--Trace 1::[(V(PR3)-V(PR2))],Y--Trace 1::[(V(PR3)-V(PR2))],,X--Trace 2::[-I(Rd:2) | I(PR1)],Y--Trace 2::[-I(Rd:2) | I(PR1)],,X--Trace 3::[V(1) | V(PR3)],Y--Trace 3::[V(1) | V(PR3)]
-5.6,-0.094432822,,-5.6,-0.000500562,,-5.6,-5.099438437
-5.59,-0.093683108,,-5.59,-0.000491403,,-5.59,-5.098597136
-5.58,-0.092926229,,-5.58,-0.000482251,,-5.58,-5.097748741
-5.57,-0.092161998,,-5.57,-0.000473107,,-5.57,-5.096893067
-5.56,-0.09139022,,-5.56,-0.00046397,,-5.56,-5.09602992
-5.55,-0.090610689,,-5.55,-0.000454841,,-5.55,-5.095159097
-5.54,-0.08982319,,-5.54,-0.00044572,,-5.54,-5.094280386
-5.53,-0.089027501,,-5.53,-0.000436606,,-5.53,-5.093393565
-5.52,-0.088223386,,-5.52,-0.000427502,,-5.52,-5.092498402
-5.51,-0.087410598,,-5.51,-0.000418405,,-5.51,-5.091594651
-5.5,-0.086588879,,-5.5,-0.000409318,,-5.5,-5.090682058
-5.49,-0.085757957,,-5.49,-0.00040024,,-5.49,-5.089760353
-5.48,-0.084917545,,-5.48,-0.000391171,,-5.48,-5.088829253
-5.47,-0.084067344,,-5.47,-0.000382112,,-5.47,-5.087888459
-5.46,-0.083207036,,-5.46,-0.000373062,,-5.46,-5.086937659
-5.45,-0.082336286,,-5.45,-0.000364023,,-5.45,-5.08597652
-5.44,-0.08145474,,-5.44,-0.000354995,,-5.44,-5.085004693
-5.43,-0.080562024,,-5.43,-0.000345978,,-5.43,-5.084021806
-5.42,-0.079657742,,-5.42,-0.000336973,,-5.42,-5.083027468
-5.41,-0.078741475,,-5.41,-0.000327979,,-5.41,-5.082021262
-5.4,-0.077812774,,-5.4,-0.000318997,,-5.4,-5.081002747
-5.39,-0.076871167,,-5.39,-0.000310029,,-5.39,-5.079971452
-5.38,-0.075916147,,-5.38,-0.000301073,,-5.38,-5.078926878
-5.37,-0.074947174,,-5.37,-0.000292132,,-5.37,-5.077868489
-5.36,-0.073963672,,-5.36,-0.000283204,,-5.36,-5.076795715
-5.35,-0.072965024,,-5.35,-0.000274292,,-5.35,-5.075707944
-5.34,-0.071950565,,-5.34,-0.000265395,,-5.34,-5.07460452
-5.33,-0.070919585,,-5.33,-0.000256515,,-5.33,-5.073484737
-5.32,-0.069871315,,-5.32,-0.000247652,,-5.32,-5.072347837
-5.31,-0.068804927,,-5.31,-0.000238807,,-5.31,-5.071192996
-5.3,-0.067719522,,-5.3,-0.000229981,,-5.3,-5.070019328
-5.29,-0.066614127,,-5.29,-0.000221174,,-5.29,-5.068825868
-5.28,-0.065487682,,-5.28,-0.000212388,,-5.28,-5.067611566
-5.27,-0.064339029,,-5.27,-0.000203625,,-5.27,-5.066375276
-5.26,-0.063166901,,-5.26,-0.000194884,,-5.26,-5.065115743
-5.25,-0.061969905,,-5.25,-0.000186168,,-5.25,-5.063831589
-5.24,-0.060746504,,-5.24,-0.000177479,,-5.24,-5.062521291
-5.23,-0.059494999,,-5.23,-0.000168817,,-5.23,-5.061183167
-5.22,-0.058213496,,-5.22,-0.000160185,,-5.22,-5.059815342
-5.21,-0.056899881,,-5.21,-0.000151584,,-5.21,-5.058415723
-5.2,-0.055551778,,-5.2,-0.000143018,,-5.2,-5.056981958
-5.19,-0.054166505,,-5.19,-0.000134489,,-5.19,-5.055511391
-5.18,-0.052741011,,-5.18,-0.000125999,,-5.18,-5.054001001
-5.17,-0.051271804,,-5.17,-0.000117553,,-5.17,-5.05244733
-5.16,-0.049754855,,-5.16,-0.000109154,,-5.16,-5.050846391
-5.15,-0.048185476,,-5.15,-0.000100806,,-5.15,-5.04919354
-5.14,-0.046558158,,-5.14,-9.25167E-05,,-5.14,-5.047483324
-5.13,-0.044866352,,-5.13,-8.42907E-05,,-5.13,-5.045709259
-5.12,-0.043102176,,-5.12,-7.61365E-05,,-5.12,-5.043863541
-5.11,-0.041255998,,-5.11,-6.80634E-05,,-5.11,-5.041936631
-5.1,-0.039315837,,-5.1,-6.00833E-05,,-5.1,-5.03991667
-5.09,-0.037266479,,-5.09,-5.22114E-05,,-5.09,-5.037788593
-5.08,-0.035088101,,-5.08,-4.44672E-05,,-5.08,-5.035532773
-5.07,-0.032754045,,-5.07,-3.68772E-05,,-5.07,-5.033122817
-5.06,-0.030226988,,-5.06,-2.94782E-05,,-5.06,-5.03052177
-5.05,-0.027451807,,-5.05,-2.23249E-05,,-5.05,-5.027675056
-5.04,-0.024340863,,-5.04,-1.55041E-05,,-5.04,-5.024495904
-5.03,-0.020738748,,-5.03,-9.16956E-06,,-5.03,-5.020830444
-5.02,-0.0162946,,-5.02,-3.66871E-06,,-5.02,-5.016331286
-5.01,-0.00989695,,-5.01,-1.0203E-07,,-5.01,-5.00989797
-5,9.79907E-09,,-5,-9.94963E-12,,-5,-4.99999999
-4.99,0.009999924,,-4.99,7.49766E-11,,-4.99,-4.990000075
-4.98,0.019999839,,-4.98,1.59438E-10,,-4.98,-4.980000159
-4.97,0.029999754,,-4.97,2.43551E-10,,-4.97,-4.970000244
-4.96,0.039999669,,-4.96,3.27426E-10,,-4.96,-4.960000327
-4.95,0.049999584,,-4.95,4.1114E-10,,-4.95,-4.950000411
-4.94,0.0599995,,-4.94,4.94746E-10,,-4.94,-4.940000495
-4.93,0.069999416,,-4.93,5.78275E-10,,-4.93,-4.930000578
-4.92,0.079999331,,-4.92,6.61755E-10,,-4.92,-4.920000662
-4.91,0.089999247,,-4.91,7.45201E-10,,-4.91,-4.910000745
-4.9,0.099999163,,-4.9,8.28623E-10,,-4.9,-4.900000829
-4.89,0.109999079,,-4.89,9.12029E-10,,-4.89,-4.890000912
-4.88,0.119998994,,-4.88,9.95424E-10,,-4.88,-4.880000995
-4.87,0.12999891,,-4.87,1.07881E-09,,-4.87,-4.870001079
-4.86,0.139998826,,-4.86,1.1622E-09,,-4.86,-4.860001162
-4.85,0.149998742,,-4.85,1.24558E-09,,-4.85,-4.850001246
-4.84,0.159998658,,-4.84,1.32895E-09,,-4.84,-4.840001329
-4.83,0.169998573,,-4.83,1.41233E-09,,-4.83,-4.830001412
-4.82,0.179998489,,-4.82,1.4957E-09,,-4.82,-4.820001496
-4.81,0.189998405,,-4.81,1.57908E-09,,-4.81,-4.810001579
-4.8,0.199998321,,-4.8,1.66245E-09,,-4.8,-4.800001662
-4.79,0.209998236,,-4.79,1.74582E-09,,-4.79,-4.790001746
-4.78,0.219998152,,-4.78,1.8292E-09,,-4.78,-4.780001829
-4.77,0.229998068,,-4.77,1.91257E-09,,-4.77,-4.770001913
-4.76,0.239997984,,-4.76,1.99594E-09,,-4.76,-4.760001996
-4.75,0.2499979,,-4.75,2.07932E-09,,-4.75,-4.750002079
-4.74,0.259997815,,-4.74,2.16269E-09,,-4.74,-4.740002163
-4.73,0.269997731,,-4.73,2.24606E-09,,-4.73,-4.730002246
-4.72,0.279997647,,-4.72,2.32943E-09,,-4.72,-4.720002329
-4.71,0.289997563,,-4.71,2.41281E-09,,-4.71,-4.710002413
-4.7,0.299997479,,-4.7,2.49618E-09,,-4.7,-4.700002496
-4.69,0.309997394,,-4.69,2.57955E-09,,-4.69,-4.69000258
-4.68,0.31999731,,-4.68,2.66293E-09,,-4.68,-4.680002663
-4.67,0.329997226,,-4.67,2.7463E-09,,-4.67,-4.670002746
-4.66,0.339997142,,-4.66,2.82967E-09,,-4.66,-4.66000283
-4.65,0.349997058,,-4.65,2.91304E-09,,-4.65,-4.650002913
-4.64,0.359996973,,-4.64,2.99642E-09,,-4.64,-4.640002996
-4.63,0.369996889,,-4.63,3.07979E-09,,-4.63,-4.63000308
-4.62,0.379996805,,-4.62,3.16316E-09,,-4.62,-4.620003163
-4.61,0.389996721,,-4.61,3.24653E-09,,-4.61,-4.610003247
-4.6,0.399996637,,-4.6,3.32991E-09,,-4.6,-4.60000333
-4.59,0.409996552,,-4.59,3.41328E-09,,-4.59,-4.590003413
-4.58,0.419996468,,-4.58,3.49665E-09,,-4.58,-4.580003497
-4.57,0.429996384,,-4.57,3.58002E-09,,-4.57,-4.57000358
-4.56,0.4399963,,-4.56,3.6634E-09,,-4.56,-4.560003663
-4.55,0.449996216,,-4.55,3.74677E-09,,-4.55,-4.550003747
-4.54,0.459996131,,-4.54,3.83014E-09,,-4.54,-4.54000383
-4.53,0.469996047,,-4.53,3.91352E-09,,-4.53,-4.530003914
-4.52,0.479995963,,-4.52,3.99689E-09,,-4.52,-4.520003997
-4.51,0.489995879,,-4.51,4.08026E-09,,-4.51,-4.51000408
