Time (s),Channel 1 (V),Channel 2 (V)
0.0001340000000000004,-0.5253197641103177,0.3680759332136119
0.0001364999999999995,-0.5229993194162432,0.3741156431931325
0.0001390000000000002,-0.5206788747221688,0.379148734842733
0.0001414999999999993,-0.5183584300280956,0.3865306025954771
0.000144,-0.515375001135713,0.3939124703482278
0.0001465000000000008,-0.5127230643424835,0.4009587986576721
0.0001489999999999998,-0.5090766512517968,0.4090117452970293
0.0001515000000000006,-0.5060932223594146,0.416058073606472
0.0001539999999999996,-0.5041042697644945,0.420420086369457
0.0001565000000000004,-0.5011208408721132,0.4274664146788977
0.0001589999999999994,-0.4981374119797318,0.4345127429883384
0.0001615000000000002,-0.4954854751865039,0.4415590712977791
0.0001639999999999992,-0.4925020462941239,0.4486053996072166
0.0001665,-0.4898501095008946,0.4563228068032739
0.0001690000000000007,-0.487198172707666,0.4623625167827965
0.0001714999999999998,-0.4855407122118993,0.4667245295457816
0.0001740000000000005,-0.4815628070220563,0.4754485550717584
0.0001764999999999996,-0.4789108702288296,0.4811527256079696
0.0001790000000000003,-0.4759274413364482,0.4888701328040237
0.0001814999999999994,-0.4726125203449149,0.4962520005567678
0.0001840000000000001,-0.4699605835516855,0.5029627894229052
0.0001864999999999992,-0.4673086467584588,0.5090024994024229
0.0001889999999999999,-0.4646567099652297,0.5147066699386397
0.0001915000000000007,-0.4620047731720006,0.5217529982480833
0.0001939999999999997,-0.4593528363787739,0.5284637871142143
0.0001965000000000005,-0.456700899585546,0.5365167337535751
0.0001989999999999995,-0.4530544864948577,0.5432275226197091
0.0002015000000000003,-0.4504025497016299,0.5485961537126163
0.0002039999999999993,-0.4477506129084032,0.5543003242488276
0.0002065000000000001,-0.4450986761151741,0.5610111131149641
0.0002089999999999991,-0.4417837551236407,0.5677219019810952
0.0002114999999999999,-0.4388003262312578,0.5754393091771522
0.0002140000000000006,-0.4361483894380286,0.5824856374865958
0.0002164999999999997,-0.4331649605456486,0.5888608869094202
0.0002190000000000004,-0.4308445158515742,0.5942295180023274
0.0002214999999999995,-0.4281925790583463,0.5995981490952346
0.0002240000000000002,-0.4248776580668114,0.606980016847982
0.0002264999999999993,-0.4218942291744314,0.6140263451574194
0.000229,-0.4182478160837417,0.6217437523534768
0.0002315000000000008,-0.4152643871913588,0.628119001776307
0.0002339999999999998,-0.4119494661998255,0.6348297906424381
0.0002365000000000006,-0.410292005704057,0.6395273428487347
0.0002389999999999996,-0.4079715610099837,0.6459025922715591
0.0002415000000000004,-0.4043251479192953,0.6532844600243065
0.0002439999999999994,-0.4013417190269139,0.6610018672203606
0.0002465000000000002,-0.3976953059362256,0.6673771166431879
0.0002489999999999992,-0.3950433691429989,0.6744234449526253
0.0002515,-0.3917284481514628,0.6791209971589224
0.0002540000000000008,-0.3900709876556938,0.6851607071384459
0.0002564999999999998,-0.3864245745650071,0.6918714960045769
0.0002590000000000005,-0.3834411456726244,0.6985822848707142
0.0002614999999999996,-0.3807892088793978,0.7056286131801516
0.0002640000000000003,-0.3771427957887095,0.7123394020462855
0.0002664999999999994,-0.3744908589954828,0.71871465146911
0.0002690000000000001,-0.3718389222022537,0.7234122036754066
0.0002714999999999992,-0.3695184775081803,0.7307940714281507
0.0002739999999999999,-0.3665350486157979,0.7368337814076746
0.0002765000000000007,-0.3625571434259547,0.7438801097171185
0.0002789999999999997,-0.3595737145335747,0.750926438026556
0.0002815000000000005,-0.3562587935420398,0.75763722689269
